                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0349,                 1.9743,                 1.3595,                0.83251,                0.70611,                0.81182,                0.56408,                 1.0276,                 1.2303,                 1.3312,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.0318,                 1.2463,                  1.338,                0.80662,                 0.6792,                0.78307,                0.52712,                 1.1278,                 1.0914,                 1.3765,              0.0065308,              0.0065308,              0.0065308
                      3,                 1.1265,                 1.2226,                 1.4069,                0.71414,                0.59891,                0.69499,                0.45343,                 1.2694,                 1.3465,                  1.492,              0.0096002,              0.0096002,              0.0096002
                      4,                 1.1774,                 1.2347,                 1.4418,                0.82776,                0.68795,                0.78737,                   0.52,                 1.1251,                 1.1217,                 1.3825,               0.009406,               0.009406,               0.009406
                      5,                 1.1059,                 1.1262,                 1.3911,                 0.8486,                0.74245,                0.82843,                0.58235,                 1.0518,                 0.9555,                 1.3388,               0.009208,               0.009208,               0.009208
                      6,                 1.0484,                 1.0454,                 1.3512,                 0.8438,                0.73045,                0.82741,                0.58453,                 1.0106,                0.92349,                 1.2945,                0.00901,                0.00901,                0.00901
                      7,                 1.0038,                0.99563,                 1.3235,                0.88009,                0.75952,                0.86417,                0.62735,                0.96007,                0.82142,                 1.2548,               0.008812,               0.008812,               0.008812
                      8,                0.97338,                0.94961,                 1.3058,                0.87754,                0.76627,                0.87338,                0.64827,                0.89644,                0.79223,                 1.1998,               0.008614,               0.008614,               0.008614
                      9,                0.94968,                0.90934,                 1.2828,                0.89371,                0.79182,                 0.8888,                0.67274,                 0.8743,                0.71702,                 1.2024,               0.008416,               0.008416,               0.008416
                     10,                0.92118,                0.87753,                 1.2638,                0.89382,                0.81597,                0.90007,                0.68031,                0.87349,                0.69077,                 1.1858,               0.008218,               0.008218,               0.008218
                     11,                0.91383,                0.86966,                 1.2598,                0.89969,                0.81959,                0.89812,                0.68433,                0.86044,                0.68131,                  1.173,                0.00802,                0.00802,                0.00802
                     12,                0.88773,                0.83371,                 1.2375,                0.90575,                0.82684,                0.90476,                0.69655,                 0.8219,                 0.6615,                 1.1509,               0.007822,               0.007822,               0.007822
                     13,                0.87917,                0.81989,                 1.2393,                0.90509,                0.82238,                0.90614,                 0.6983,                0.81392,                0.64648,                 1.1461,               0.007624,               0.007624,               0.007624
                     14,                0.87043,                0.80889,                 1.2309,                0.90557,                0.82697,                0.90909,                0.71024,                0.78633,                 0.6293,                 1.1216,               0.007426,               0.007426,               0.007426
                     15,                0.85318,                0.78937,                 1.2195,                0.91414,                0.85512,                 0.9254,                0.72792,                0.76833,                0.59707,                 1.1177,               0.007228,               0.007228,               0.007228
                     16,                0.83948,                0.77296,                 1.2112,                0.91558,                0.84919,                0.92443,                0.73153,                0.75494,                0.58507,                 1.1022,                0.00703,                0.00703,                0.00703
                     17,                0.82393,                0.75035,                 1.2003,                0.91067,                0.85098,                0.92392,                0.73793,                0.73452,                0.59188,                 1.0862,               0.006832,               0.006832,               0.006832
                     18,                0.82019,                 0.7441,                 1.1968,                0.92164,                0.84581,                0.92577,                0.73805,                0.73924,                0.56246,                  1.099,               0.006634,               0.006634,               0.006634
                     19,                0.81092,                0.72773,                 1.1898,                0.92382,                0.86133,                 0.9307,                0.74215,                0.74094,                0.55062,                 1.0918,               0.006436,               0.006436,               0.006436
                     20,                0.79926,                0.72419,                 1.1831,                0.92956,                0.86031,                0.93084,                0.75212,                0.71843,                0.53723,                 1.0739,               0.006238,               0.006238,               0.006238
                     21,                0.79271,                0.70515,                 1.1727,                0.93323,                0.85822,                0.93517,                0.75487,                0.70851,                0.53327,                 1.0683,                0.00604,                0.00604,                0.00604
                     22,                0.78654,                0.70719,                 1.1721,                0.93508,                0.86445,                0.93196,                0.75291,                0.70609,                0.53073,                 1.0631,               0.005842,               0.005842,               0.005842
                     23,                0.77634,                 0.6918,                 1.1683,                0.92332,                0.87789,                0.94079,                 0.7632,                0.69551,                0.51343,                 1.0544,               0.005644,               0.005644,               0.005644
                     24,                0.77404,                0.68309,                 1.1622,                0.94589,                0.86222,                0.94048,                0.76562,                0.68611,                0.50905,                 1.0447,               0.005446,               0.005446,               0.005446
                     25,                0.75297,                0.66871,                   1.15,                 0.9341,                0.87517,                0.93892,                 0.7702,                0.66912,                0.49547,                 1.0402,               0.005248,               0.005248,               0.005248
                     26,                0.75474,                0.66477,                 1.1508,                0.93015,                0.87306,                 0.9421,                0.77444,                0.66434,                0.49777,                 1.0322,                0.00505,                0.00505,                0.00505
                     27,                0.74524,                 0.6571,                 1.1471,                0.93764,                0.87655,                0.94372,                0.77691,                 0.6573,                0.48314,                 1.0284,               0.004852,               0.004852,               0.004852
                     28,                0.74045,                0.65153,                 1.1443,                0.94002,                0.87586,                0.94504,                0.78098,                 0.6521,                0.47478,                 1.0224,               0.004654,               0.004654,               0.004654
                     29,                0.73525,                0.64192,                 1.1394,                0.94287,                0.88245,                0.94642,                 0.7816,                0.64685,                0.47154,                 1.0189,               0.004456,               0.004456,               0.004456
                     30,                0.71923,                0.62575,                 1.1302,                0.94932,                0.87478,                 0.9475,                0.78484,                 0.6415,                0.46648,                  1.019,               0.004258,               0.004258,               0.004258
                     31,                0.72206,                0.62697,                 1.1268,                0.94632,                 0.8878,                0.95137,                 0.7892,                0.64131,                0.45737,                 1.0164,                0.00406,                0.00406,                0.00406
                     32,                0.71688,                0.61707,                  1.124,                0.95521,                0.88285,                0.94928,                0.79003,                0.63651,                0.45795,                 1.0126,               0.003862,               0.003862,               0.003862
                     33,                0.70831,                0.60549,                  1.115,                0.94768,                0.88715,                0.95043,                0.79271,                0.62892,                 0.4467,                 1.0109,               0.003664,               0.003664,               0.003664
                     34,                0.70272,                0.59501,                 1.1121,                0.95995,                0.88996,                0.95218,                0.79682,                0.62578,                0.44381,                 1.0057,               0.003466,               0.003466,               0.003466
                     35,                0.69257,                0.59344,                 1.1126,                0.95571,                0.89313,                0.95402,                 0.7971,                 0.6261,                0.43618,                 1.0049,               0.003268,               0.003268,               0.003268
                     36,                0.68563,                0.58015,                 1.1023,                0.94512,                0.89652,                0.95351,                0.79716,                0.62363,                0.44086,                 1.0043,                0.00307,                0.00307,                0.00307
                     37,                0.67977,                0.57985,                 1.1028,                0.95701,                0.89078,                0.95305,                 0.8006,                0.61444,                0.43087,                0.99692,               0.002872,               0.002872,               0.002872
                     38,                 0.6728,                0.57071,                 1.1011,                0.95327,                0.89362,                0.95532,                0.80403,                0.60948,                0.42613,                 0.9935,               0.002674,               0.002674,               0.002674
                     39,                0.66727,                0.56595,                 1.0979,                0.95363,                0.89394,                0.95414,                0.80644,                0.60121,                0.42291,                0.98776,               0.002476,               0.002476,               0.002476
                     40,                0.66226,                0.55538,                 1.0881,                 0.9535,                0.89721,                0.95479,                0.80872,                0.59745,                0.41596,                0.98862,               0.002278,               0.002278,               0.002278
                     41,                0.60571,                0.44837,                 1.0061,                0.95805,                0.89012,                0.95617,                0.80964,                0.60067,                0.41645,                0.99294,                0.00208,                0.00208,                0.00208
                     42,                0.59231,                0.43363,                0.99789,                0.95149,                0.89988,                0.95484,                0.80832,                0.59552,                0.41976,                0.99143,               0.001882,               0.001882,               0.001882
                     43,                0.58339,                0.41985,                0.99184,                0.95479,                0.89602,                  0.956,                 0.8117,                0.59314,                0.41396,                0.99042,               0.001684,               0.001684,               0.001684
                     44,                0.56992,                0.40927,                0.98391,                0.95791,                0.89479,                 0.9564,                0.81146,                0.58991,                 0.4091,                0.98685,               0.001486,               0.001486,               0.001486
                     45,                0.56151,                0.40149,                0.97873,                0.95861,                0.89928,                 0.9564,                0.81241,                0.58884,                0.40427,                0.98763,               0.001288,               0.001288,               0.001288
                     46,                 0.5556,                0.39572,                0.97226,                0.95922,                0.90058,                0.95635,                0.81381,                0.58607,                0.40275,                0.98594,                0.00109,                0.00109,                0.00109
                     47,                0.54706,                0.38957,                0.96772,                0.96387,                0.90135,                0.95912,                0.81592,                0.58492,                0.39638,                0.98352,               0.000892,               0.000892,               0.000892
                     48,                0.54057,                0.37956,                0.96457,                0.95726,                0.90384,                0.95986,                0.81677,                0.58307,                0.39385,                0.98217,               0.000694,               0.000694,               0.000694
                     49,                0.53057,                0.37036,                 0.9588,                0.96233,                0.89877,                0.95992,                0.81599,                0.58102,                0.39097,                0.98209,               0.000496,               0.000496,               0.000496
                     50,                0.52515,                0.36409,                0.95479,                 0.9641,                0.89867,                0.95931,                0.81589,                0.58212,                0.39048,                0.98223,               0.000298,               0.000298,               0.000298
